Nombre,Tipo,Descripción,Rango / valores,Unidad,Importancia,Posibles valores atípicos,Observaciones
diagnosis,categórica nominal,Variable objetivo: diagnóstico histopatológico codificado como maligno o benigno.,"malignant, benign",categoría clínica,Crítica,No aplica; se valida consistencia de etiquetas.,Es la variable de referencia para segmentar el análisis estadístico.
mean radius,numérica continua,Media de distancia media desde el centro hasta puntos del perímetro celular.,6.981 a 28.11,unidades de imagen,Muy alta,"14 casos (2.5%) fuera de [5.58, 21.9] por regla IQR.",mayor en maligno; |d|=2.21; asimetría moderada.
mean texture,numérica continua,Media de variabilidad de la intensidad de gris en la imagen.,9.71 a 39.28,desviación estándar de niveles de gris,Media,"7 casos (1.2%) fuera de [7.73, 30.2] por regla IQR.",mayor en maligno; |d|=0.94; asimetría moderada.
mean perimeter,numérica continua,Media de longitud del contorno de la masa celular.,43.79 a 188.5,unidades de imagen,Muy alta,"13 casos (2.3%) fuera de [31.8, 147] por regla IQR.",mayor en maligno; |d|=2.29; asimetría moderada.
mean area,numérica continua,Media de superficie proyectada de la masa celular.,143.5 a 2501,unidades cuadradas de imagen,Muy alta,"25 casos (4.4%) fuera de [-123, 1.33e+03] por regla IQR.",mayor en maligno; |d|=2.08; asimetría marcada.
mean smoothness,numérica continua,Media de variación local de longitudes de radio.,0.05263 a 0.1634,índice adimensional,Media,"6 casos (1.1%) fuera de [0.058, 0.134] por regla IQR.",mayor en maligno; |d|=0.79; distribución relativamente estable.
mean compactness,numérica continua,Media de relación de compacidad calculada como perímetro al cuadrado sobre área menos uno.,0.01938 a 0.3454,índice adimensional,Alta,"16 casos (2.8%) fuera de [-0.0333, 0.229] por regla IQR.",mayor en maligno; |d|=1.53; asimetría marcada.
mean concavity,numérica continua,Media de severidad de porciones cóncavas del contorno.,0 a 0.4268,índice adimensional,Muy alta,"18 casos (3.2%) fuera de [-0.122, 0.282] por regla IQR.",mayor en maligno; |d|=2.00; asimetría marcada.
mean concave points,numérica continua,Media de cantidad relativa de puntos cóncavos del contorno.,0 a 0.2012,índice adimensional,Muy alta,"10 casos (1.8%) fuera de [-0.0602, 0.155] por regla IQR.",mayor en maligno; |d|=2.55; asimetría marcada.
mean symmetry,numérica continua,Media de grado de simetría de la estructura celular.,0.106 a 0.304,índice adimensional,Media,"15 casos (2.6%) fuera de [0.111, 0.246] por regla IQR.",mayor en maligno; |d|=0.72; asimetría moderada.
mean fractal dimension,numérica continua,Media de aproximación de complejidad del contorno celular.,0.04996 a 0.09744,índice adimensional,Exploratoria,"15 casos (2.6%) fuera de [0.0451, 0.0787] por regla IQR.",mayor en benigno; |d|=0.03; asimetría marcada.
radius error,numérica continua,Error estándar de distancia media desde el centro hasta puntos del perímetro celular.,0.1115 a 2.873,unidades de imagen,Alta,"38 casos (6.7%) fuera de [-0.137, 0.849] por regla IQR.",mayor en maligno; |d|=1.42; asimetría marcada.
texture error,numérica continua,Error estándar de variabilidad de la intensidad de gris en la imagen.,0.3602 a 4.885,desviación estándar de niveles de gris,Exploratoria,"20 casos (3.5%) fuera de [-0.126, 2.43] por regla IQR.",mayor en benigno; |d|=0.02; asimetría marcada.
perimeter error,numérica continua,Error estándar de longitud del contorno de la masa celular.,0.757 a 21.98,unidades de imagen,Alta,"38 casos (6.7%) fuera de [-1.02, 5.98] por regla IQR.",mayor en maligno; |d|=1.38; asimetría marcada.
area error,numérica continua,Error estándar de superficie proyectada de la masa celular.,6.802 a 542.2,unidades cuadradas de imagen,Alta,"65 casos (11.4%) fuera de [-23.2, 86.2] por regla IQR.",mayor en maligno; |d|=1.35; asimetría marcada.
smoothness error,numérica continua,Error estándar de variación local de longitudes de radio.,0.001713 a 0.03113,índice adimensional,Exploratoria,"30 casos (5.3%) fuera de [0.000703, 0.0126] por regla IQR.",mayor en benigno; |d|=0.14; asimetría marcada.
