Variable,n,Media,Desv. estándar,Mínimo,P1,P25,Mediana,P75,P99,Máximo,Asimetría,|d|,Dirección,Atípicos IQR,Atípicos IQR (%)
mean radius,569.0,14.1273,3.524,6.981,8.4584,11.7,13.37,15.78,24.3716,28.11,0.9424,2.2055,Mayor en maligno,14.0,2.4605
mean texture,569.0,19.2896,4.301,9.71,10.9304,16.17,18.84,21.8,30.652,39.28,0.6504,0.9423,Mayor en maligno,7.0,1.2302
mean perimeter,569.0,91.969,24.299,43.79,53.8276,75.17,86.24,104.1,165.724,188.5,0.9907,2.2895,Mayor en maligno,13.0,2.2847
mean area,569.0,654.8891,351.9141,143.5,215.664,420.3,551.1,782.7,1786.6,2501.0,1.6457,2.0757,Mayor en maligno,25.0,4.3937
mean smoothness,569.0,0.0964,0.0141,0.0526,0.0687,0.0864,0.0959,0.1053,0.1329,0.1634,0.4563,0.793,Mayor en maligno,6.0,1.0545
mean compactness,569.0,0.1043,0.0528,0.0194,0.0334,0.0649,0.0926,0.1304,0.2772,0.3454,1.1901,1.5346,Mayor en maligno,16.0,2.812
mean concavity,569.0,0.0888,0.0797,0.0,0.0,0.0296,0.0615,0.1307,0.3517,0.4268,1.4012,2.0033,Mayor en maligno,18.0,3.1634
mean concave points,569.0,0.0489,0.0388,0.0,0.0,0.0203,0.0335,0.074,0.1642,0.2012,1.1712,2.5452,Mayor en maligno,10.0,1.7575
mean symmetry,569.0,0.1812,0.0274,0.106,0.1295,0.1619,0.1792,0.1957,0.2596,0.304,0.7256,0.723,Mayor en maligno,15.0,2.6362
mean fractal dimension,569.0,0.0628,0.0071,0.05,0.0515,0.0577,0.0615,0.0661,0.0854,0.0974,1.3045,0.0265,Mayor en benigno,15.0,2.6362
radius error,569.0,0.4052,0.2773,0.1115,0.1197,0.2324,0.3242,0.4789,1.2913,2.873,3.0886,1.4217,Mayor en maligno,38.0,6.6784
texture error,569.0,1.2169,0.5516,0.3602,0.4105,0.8339,1.108,1.474,2.9154,4.885,1.6464,0.0171,Mayor en benigno,20.0,3.5149
perimeter error,569.0,2.8661,2.0219,0.757,0.9532,1.606,2.287,3.357,9.69,21.98,3.4436,1.3816,Mayor en maligno,38.0,6.6784
area error,569.0,40.3371,45.491,6.802,8.5144,17.85,24.53,45.19,177.684,542.2,5.4472,1.3534,Mayor en maligno,65.0,11.4236
smoothness error,569.0,0.007,0.003,0.0017,0.0031,0.0052,0.0064,0.0081,0.0173,0.0311,2.3145,0.1387,Mayor en benigno,30.0,5.2724
compactness error,569.0,0.0255,0.0179,0.0023,0.0047,0.0131,0.0204,0.0324,0.0899,0.1354,1.9022,0.6327,Mayor en maligno,28.0,4.9209
concavity error,569.0,0.0319,0.0302,0.0,0.0,0.0151,0.0259,0.042,0.1223,0.396,5.1105,0.5416,Mayor en maligno,22.0,3.8664
concave points error,569.0,0.0118,0.0062,0.0,0.0,0.0076,0.0109,0.0147,0.0312,0.0528,1.4447,0.9228,Mayor en maligno,19.0,3.3392
symmetry error,569.0,0.0205,0.0083,0.0079,0.0105,0.0152,0.0187,0.0235,0.0522,0.079,2.1951,0.0135,Mayor en benigno,27.0,4.7452
fractal dimension error,569.0,0.0038,0.0026,0.0009,0.0011,0.0022,0.0032,0.0046,0.0126,0.0298,3.924,0.1615,Mayor en maligno,28.0,4.9209
worst radius,569.0,16.2692,4.8332,7.93,9.2076,13.01,14.97,18.79,30.7628,36.04,1.1031,2.5439,Mayor en maligno,17.0,2.9877
worst texture,569.0,25.6772,6.1463,12.02,15.2008,21.08,25.41,29.72,41.8024,49.54,0.4983,1.0605,Mayor en maligno,5.0,0.8787
worst perimeter,569.0,107.2612,33.6025,50.41,58.2704,84.11,97.66,125.4,208.304,251.2,1.1282,2.5982,Mayor en maligno,15.0,2.6362
worst area,569.0,880.5831,569.357,185.2,256.192,515.3,686.5,1084.0,2918.16,4254.0,1.8594,2.2302,Mayor en maligno,35.0,6.1511
worst smoothness,569.0,0.1324,0.0228,0.0712,0.0879,0.1166,0.1313,0.146,0.1889,0.2226,0.4154,0.9596,Mayor en maligno,7.0,1.2302
worst compactness,569.0,0.2543,0.1573,0.0273,0.0501,0.1472,0.2119,0.3391,0.7786,1.058,1.4736,1.5126,Mayor en maligno,16.0,2.812
worst concavity,569.0,0.2722,0.2086,0.0,0.0,0.1145,0.2267,0.3829,0.9024,1.252,1.1502,1.8119,Mayor en maligno,12.0,2.109
worst concave points,569.0,0.1146,0.0657,0.0,0.0,0.0649,0.0999,0.1614,0.2692,0.291,0.4926,2.6926,Mayor en maligno,0.0,0.0
worst symmetry,569.0,0.2901,0.0619,0.1565,0.176,0.2504,0.2822,0.3179,0.4869,0.6638,1.4339,0.9453,Mayor en maligno,23.0,4.0422
worst fractal dimension,569.0,0.0839,0.0181,0.055,0.0586,0.0715,0.08,0.0921,0.1406,0.2075,1.6626,0.7068,Mayor en maligno,24.0,4.2179
